data_sinal,prob_alta_proximo_pregao,real_alta_proximo_pregao,acertou,confianca
2019-06-13,0.483602,0,1,neutra
2019-06-14,0.526909,0,0,neutra
2019-06-17,0.546625,1,1,neutra
2019-06-18,0.418947,1,0,neutra
2019-06-19,0.527703,0,0,neutra
2019-06-21,0.490532,1,0,neutra
2019-06-24,0.502572,0,0,neutra
2019-06-25,0.524749,1,1,neutra
2019-06-26,0.495577,1,0,neutra
2019-06-27,0.538793,1,1,neutra
2019-06-28,0.497626,1,0,neutra
2019-07-01,0.580839,0,0,neutra
2019-07-02,0.562903,1,1,neutra
2019-07-03,0.433923,1,0,neutra
2019-07-04,0.451803,1,0,neutra
2019-07-05,0.492263,1,0,neutra
2019-07-08,0.492045,0,1,neutra
2019-07-10,0.444745,0,1,neutra
2019-07-11,0.550641,0,0,neutra
2019-07-12,0.548175,0,0,neutra
2019-07-15,0.517735,0,0,neutra
2019-07-16,0.575528,1,1,neutra
2019-07-17,0.527356,1,1,neutra
2019-07-18,0.511608,0,0,neutra
2019-07-19,0.547608,1,1,neutra
2019-07-22,0.503031,0,0,neutra
2019-07-23,0.53616,1,1,neutra
2019-07-24,0.518869,0,0,neutra
2019-07-25,0.561237,1,1,neutra
2019-07-26,0.525222,1,1,neutra
2019-07-29,0.469621,0,1,neutra
2019-07-30,0.560561,0,0,neutra
2019-07-31,0.56182,1,1,neutra
2019-08-01,0.577625,1,1,neutra
2019-08-02,0.472052,0,1,neutra
2019-08-05,0.606858,1,1,alta
2019-08-06,0.442893,1,0,neutra
2019-08-07,0.541201,1,1,neutra
2019-08-08,0.464177,0,1,neutra
2019-08-09,0.475588,0,1,neutra
2019-08-12,0.57131,1,1,neutra
2019-08-13,0.388157,0,1,alta
2019-08-14,0.661548,0,0,alta
2019-08-15,0.60854,1,1,alta
2019-08-16,0.482945,0,1,neutra
2019-08-19,0.510418,0,0,neutra
2019-08-20,0.56325,1,1,neutra
2019-08-21,0.452418,0,1,neutra
2019-08-22,0.527534,0,0,neutra
2019-08-23,0.613808,0,0,alta
2019-08-26,0.555987,1,1,neutra
2019-08-27,0.487337,1,0,neutra
2019-08-28,0.463622,1,0,neutra
2019-08-29,0.455912,1,0,neutra
2019-08-30,0.568997,0,0,neutra
2019-09-02,0.495493,0,1,neutra
2019-09-03,0.530836,1,1,neutra
2019-09-04,0.389656,1,0,alta
2019-09-05,0.459671,1,0,neutra
2019-09-06,0.486915,1,0,neutra
2019-09-09,0.467819,0,1,neutra
2019-09-10,0.530014,1,1,neutra
2019-09-11,0.583244,1,1,neutra
2019-09-12,0.48779,0,1,neutra
2019-09-13,0.517805,1,1,neutra
2019-09-16,0.341621,1,0,alta
2019-09-17,0.539883,0,0,neutra
2019-09-18,0.53667,0,0,neutra
2019-09-19,0.503124,1,1,neutra
2019-09-20,0.563988,0,0,neutra
2019-09-23,0.486054,0,1,neutra
2019-09-24,0.584749,1,1,neutra
2019-09-25,0.505433,1,1,neutra
2019-09-26,0.512176,0,0,neutra
2019-09-27,0.536223,0,0,neutra
2019-09-30,0.552965,0,0,neutra
2019-10-01,0.561406,0,0,neutra
2019-10-02,0.57721,1,1,neutra
2019-10-03,0.493407,1,0,neutra
2019-10-04,0.47773,0,1,neutra
2019-10-07,0.559411,0,0,neutra
2019-10-08,0.583671,1,1,neutra
2019-10-09,0.459209,1,0,neutra
2019-10-10,0.463376,1,0,neutra
2019-10-11,0.454414,1,0,neutra
2019-10-14,0.49744,1,0,neutra
2019-10-15,0.505982,1,1,neutra
2019-10-16,0.522615,0,0,neutra
2019-10-17,0.485032,0,1,neutra
2019-10-18,0.519663,1,1,neutra
2019-10-21,0.478543,1,0,neutra
2019-10-22,0.504761,1,1,neutra
2019-10-23,0.460288,0,1,neutra
2019-10-24,0.512646,1,1,neutra
2019-10-25,0.50347,1,1,neutra
2019-10-28,0.507778,0,0,neutra
2019-10-29,0.515823,1,1,neutra
2019-10-30,0.500385,0,0,neutra
2019-10-31,0.553264,1,1,neutra
2019-11-01,0.484674,1,0,neutra
2019-11-04,0.526748,0,0,neutra
2019-11-05,0.534461,0,0,neutra
2019-11-06,0.515878,1,1,neutra
2019-11-07,0.501541,0,0,neutra
2019-11-08,0.557995,1,1,neutra
2019-11-11,0.513572,0,0,neutra
